data,fornecedor,notas_fiscais,volumes,data_sugerida,observacoes,Status,Origem,ID,Remetente,Assunto,Volumes Recebidos,Resumo Direto
28/07/2026,Novabrink,​​​​123225,9,28/07/2026,[Resposta/Tratativa] - Transportadora: FR Transportes | Fornecedor: Novabrink | NF: 123225 | Volumes: N/I | Data Sugerida: 28/07/2026,CONCLUÍDO,Gmail Studio,19f949d017634f3c,agendamento.rj@frtransportes.com.br,AGENDAMENTO DE ENTREGA - NFE 123225 - NOVABRINK // HI HAPPY,9,
29/07/2026,MAPPED,​​​​119690,1,29/07/2026,[Resposta/Tratativa] - Transportadora: Movvi | Fornecedor: Ri Happy | NF: 119690 | Volumes: Não informado | Data Sugerida: 29/07/2026,CONCLUÍDO,Gmail Studio,19f9519b58460ae8,atendimento.sao2@movvi.com.br,RE: SOLICITAÇÃO DE AGENDA NF 119690,1,
27/07/2026,HASBRO,29783 29799 29807 29813 29866,197,27/07/2026,"[CONFIRMAÇÃO] - Resumo: A transportadora DHL confirma a entrega do fornecedor Hasbro para o dia 27/07/2026. | Transportadora: DHL | Fornecedor: Hasbro | NF: 29783, 29799, 29807, 29813, 29866 | Volumes: 197 | Data Sugerida: 27/07/2026",CONCLUÍDO,Gmail Studio,19f8b20cb85bfd44,bruna.santosdelima@dhl.com,RES: Solicitação de Agendamento Hasbro - DHL,197,A transportadora DHL confirma a entrega do fornecedor Hasbro para o dia 27/07/2026.
28/07/2026,SUNNY,195424 - 195629,192,28/07/2026,Sem resumo disponível.,CONCLUÍDO,Gmail Studio,047bd4cb-6626-4c2a-bac6-08fd74a8a3c2,agendamento.rj@frtransportes.com.br,AGENDAMENTO DE ENTREGA - NFE 123225 - NOVABRINK // HI HAPPY,192,
27/07/2026 12:17:44,COPAG,291381,15,27/07/2026,,CONCLUÍDO,Agendamento Manual,MANUAL_1785165424471,Manual,Agendamento Criado Manualmente,15,
"julho 27, 2026 at 2:21 PM BRT",ELKA,272139,207,29/07/2026,[SOLICITAÇÃO] - Resumo: A transportadora Alfaness Log solicita agendamento para a entrega do fornecedor FUN Comercio de Brinquedos para o dia 30/07/2026. | Transportadora: Alfaness Log | Fornecedor: FUN Comercio de Brinquedos | NF: 350768 | Volumes: 66 | Data Sugerida: 30/07/2026,CONFIRMADO,Gmail Studio,19fa49970230f495,daniela.santolaia@alfanesslog.com.br,Agendamento Fun Comercio de Brinquedos,,
30/07/2026,Fun Comercio,​​​​350768,66,30/07/2026,[SOLICITAÇÃO] - Resumo: A transportadora Jamef Transportes solicita agendamento para a entrega do fornecedor Fun Comercio para o dia 30/07/2026. | Transportadora: Jamef Transportes | Fornecedor: Fun Comercio | NF: 350768 | Volumes: 66 | Data Sugerida: 30/07/2026,CONCLUÍDO,Gmail Studio,19fa56c38ac8dda7,robertarodrigues@rio.jamef.com.br,Agendamento Cte 2179421 Fun Comercio X Ri Happy,66,
28/07/2026 17:04:22,GROW,110490 110799,40,30/07/2026,,CONFIRMADO,Agendamento Manual,MANUAL_1785269036621,Manual,Agendamento Criado Manualmente,0,
"julho 29, 2026 at 10:26 AM BRT",YES TOYS,​​​​32899,N/I,30/07/2026,[SOLICITAÇÃO] - Resumo: A transportadora Transcarapia solicita agendamento para a entrega do fornecedor YES TOYS para o dia 30/07/2026. | Transportadora: Transcarapia | Fornecedor: YES TOYS | NF: 32899 | Volumes: N/I | Data Sugerida: 30/07/2026,PENDENTE,Gmail Studio,19fae0e2fbd9569e,coleta@transcarapia.com.br,Agendamento NF 32899 YES TOYS,,
"julho 30, 2026 at 9:50 AM BRT",Epoch Magia,​​​​44514,N/I,04/08/2026,[CONFIRMAÇÃO] - Resumo: A transportadora N/I confirma a entrega do fornecedor Epoch Magia para o dia 04/08/2026. | Transportadora: N/I | Fornecedor: Epoch Magia | NF: 44514 | Volumes: N/I | Data Sugerida: 04/08/2026,CONFIRMADO,Gmail Studio,19fb2e6b789147e4,loja187@rihappy.com.br,Re: Agenda NF 44514 (RI HAPPY BRINQ - 187),,
"julho 30, 2026 at 10:14 AM BRT",YES TOYS,​​​​32899,N/I,04/08/2026,[CONFIRMAÇÃO] - Resumo: A transportadora Transcarapiá confirma a entrega do fornecedor YES TOYS para o dia 04/08/2026. | Transportadora: Transcarapiá | Fornecedor: YES TOYS | NF: 32899 | Volumes: N/I | Data Sugerida: 04/08/2026,CONFIRMADO,Gmail Studio,19fae0e2fbd9569e,coleta@transcarapia.com.br,RE: Agendamento NF 32899 YES TOYS,,
"julho 30, 2026 at 3:35 PM BRT",EPOCH MAGIA IMPORTADORA,44514,7,N/I,[SOLICITAÇÃO] - Resumo: A transportadora NR Express solicita agendamento para a entrega do fornecedor EPOCH MAGIA IMPORTADORA para o dia N/I. | Transportadora: NR Express | Fornecedor: EPOCH MAGIA IMPORTADORA | NF: 44514 | Volumes: 7 | Data Sugerida: N/I,PENDENTE,Gmail Studio,19fb45219d659b19,expedicao4.rj@nrexpress.com.br,SOLICITAÇÃO DE AGENDAMENTO -NF 44514,,
"julho 31, 2026 at 7:02 AM BRT",Epoch Magia Importadora,44514,7,04/08/2026,[CONFIRMAÇÃO] - Resumo: A transportadora NRExpress confirma a entrega do fornecedor Epoch Magia Importadora para o dia 04/08/2026. | Transportadora: NRExpress | Fornecedor: Epoch Magia Importadora | NF: 44514 | Volumes: 7 | Data Sugerida: 04/08/2026,CONFIRMADO,Gmail Studio,19fb45219d659b19,expedicao4.rj@nrexpress.com.br,RES: SOLICITAÇÃO DE AGENDAMENTO -NF 44514,,
